Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2021-06-16,Flat Barbell Bench Press,Chest,70.0,lbs,2,,,,""
2021-06-16,Flat Barbell Bench Press,Chest,45.0,lbs,10,,,,""
2021-06-16,Seated Cable Row,Back,180.0,lbs,8,,,,""
2021-06-16,Lateral Pulldown (Jalon Individual),Back,90.0,lbs,6,,,,""
2021-06-16,Seated Machine Fly,Chest,160.0,lbs,6,,,,""
2021-06-16,Dumbbell Hammer Curl,Biceps,40.0,lbs,6,,,,""
2021-06-16,Polea Parado,Biceps,120.0,lbs,4,,,,""
2021-06-16,Triceps Cuerda,Triceps,100.0,lbs,4,,,,""
2021-06-19,Prensa Atlética,Legs,90.0,lbs,10,,,,""
2021-06-19,Hack Pierna,Legs,90.0,lbs,4,,,,""
2021-06-19,Hack Pierna,Legs,70.0,lbs,10,,,,""
2021-06-19,Hack Pierna,Legs,70.0,lbs,10,,,,""
2021-06-19,Prensa Atlética,Legs,135.0,lbs,10,,,,""
2021-06-19,Prensa Atlética,Legs,180.0,lbs,8,,,,""
2021-06-19,Pantorrilla Máquina Sentado,Legs,50.0,lbs,10,,,,""
2021-06-19,Pantorrilla Máquina Sentado,Legs,50.0,lbs,10,,,,""
2021-06-19,Pantorrilla Máquina Sentado,Legs,50.0,lbs,10,,,,""
2021-06-19,Leg Extension Machine,Legs,75.0,lbs,12,,,,""
2021-06-19,Leg Extension Machine,Legs,90.0,lbs,12,,,,""
2021-06-19,Leg Extension Machine,Legs,120.0,lbs,8,,,,""
2021-06-19,Patada De Burro,Legs,90.0,lbs,10,,,,""
2021-06-19,Patada De Burro,Legs,130.0,lbs,8,,,,""
2021-06-19,Patada De Burro,Legs,150.0,lbs,8,,,,""
2021-06-21,Running (Treadmill),Cardio,,,,1.5,m,0:12:30,""
2021-06-21,Pecho Plano Mancuerna,Chest,60.0,lbs,8,,,,""
2021-06-21,Seated Machine Curl,Biceps,90.0,lbs,10,,,,""
2021-06-21,Pecho Plano Mancuerna,Chest,65.0,lbs,8,,,,""
2021-06-21,Seated Machine Curl,Biceps,105.0,lbs,10,,,,""
2021-06-21,Seated Machine Curl,Biceps,120.0,lbs,6,,,,""
2021-06-21,Pecho Plano Mancuerna,Chest,70.0,lbs,6,,,,""
2021-06-21,Pecho Plano Mancuerna,Chest,75.0,lbs,4,,,,""
2021-06-21,Seated Machine Curl,Biceps,135.0,lbs,3,,,,""
2021-06-21,Triceps Extensión De Cuerda,Triceps,70.0,lbs,10,,,,""
2021-06-21,Jalón Polea Abierto,Back,140.0,lbs,12,,,,""
2021-06-21,Triceps Extensión De Cuerda,Triceps,80.0,lbs,10,,,,""
2021-06-21,Jalón Polea Abierto,Back,170.0,lbs,8,,,,""
2021-06-21,Triceps Extensión De Cuerda,Triceps,90.0,lbs,8,,,,""
2021-06-21,Jalón Polea Abierto,Back,200.0,lbs,3,,,,""
2021-06-21,Triceps Extensión De Cuerda,Triceps,100.0,lbs,6,,,,""
2021-06-21,Jalón Polea Abierto,Back,200.0,lbs,4,,,,""
2021-06-21,Press inclinado Máquina,Chest,40.0,lbs,20,,,,""
2021-06-21,Biceps Polea Barra,Biceps,60.0,lbs,12,,,,""
2021-06-21,Press inclinado Máquina,Chest,60.0,lbs,10,,,,""
2021-06-21,Biceps Polea Barra,Biceps,80.0,lbs,12,,,,""
2021-06-21,Press inclinado Máquina,Chest,80.0,lbs,4,,,,""
2021-06-21,Biceps Polea Barra,Biceps,100.0,lbs,6,,,,""
2021-06-21,Press inclinado Máquina,Chest,80.0,lbs,4,,,,""
2021-06-21,Biceps Polea Barra,Biceps,100.0,lbs,6,,,,""
2021-06-21,Jalon Remo Maquina Individual,Back,45.0,lbs,20,,,,""
2021-06-21,Extension Triceps Maquina,Triceps,32.0,lbs,20,,,,""
2021-06-21,Jalon Remo Maquina Individual,Back,70.0,lbs,12,,,,""
2021-06-21,Extension Triceps Maquina,Triceps,46.0,lbs,8,,,,""
2021-06-21,Jalon Remo Maquina Individual,Back,90.0,lbs,6,,,,""
2021-06-21,Extension Triceps Maquina,Triceps,53.0,lbs,5,,,,""
2021-06-21,Jalon Remo Maquina Individual,Back,100.0,lbs,6,,,,""
2021-06-21,Extension Triceps Maquina,Triceps,53.0,lbs,7,,,,""
2021-06-21,Crunch Machine,Abs,55.0,lbs,8,,,,""
2021-06-21,Crunch Machine,Abs,55.0,lbs,8,,,,""
2021-06-21,Crunch Machine,Abs,55.0,lbs,8,,,,""
2021-06-23,Sentadilla Libre Barra,Legs,45.0,lbs,12,,,,""
2021-06-23,Extension De Pantorrilla Máquina Sentado,Legs,75.0,lbs,20,,,,""
2021-06-23,Sentadilla Libre Barra,Legs,70.0,lbs,8,,,,""
2021-06-23,Extension De Pantorrilla Máquina Sentado,Legs,85.0,lbs,12,,,,""
2021-06-23,Sentadilla Libre Barra,Legs,95.0,lbs,4,,,,""
2021-06-23,Extension De Pantorrilla Máquina Sentado,Legs,95.0,lbs,12,,,,""
2021-06-23,Sentadilla Libre Barra,Legs,95.0,lbs,4,,,,""
2021-06-23,Extension De Pantorrilla Máquina Sentado,Legs,105.0,lbs,8,,,,""
2021-06-23,Leg Extension Machine,Legs,75.0,lbs,15,,,,""
2021-06-23,Leg Extension Machine,Legs,90.0,lbs,10,,,,""
2021-06-23,Leg Extension Machine,Legs,90.0,lbs,11,,,,""
